Ticker,Opportunities,Threats
MSI,2. Positive outlook for public safety LTE market,2. Tax rates and other government regulations
MSI,3. Vast markets in Africa and Asia provide an opportuinty of growth,-
MSI,4. Increased automation can pull up the demand for SCADA system that Motorola manufactures,-
-,-,-
MTB,1. M&T acquired the venerable Wilmington Trust Corporation and giving it the leading market share in Delaware. This trust can be effectively managed by providing services to financially sound individuals.,1. Federal Deposit Insurance Corporation (FDIC) insurance premiums have increased significantly since the start of the financial crisis and it has decreased the margins of M&T Bank.
MTB,"2. Owing to its large presence in the Southeastern and Midwest regions of the US, it has a decent prospect to consolidate its position in the region.","2. As a result of the Dodd-F rank Act, the capital standards have evolved in the banking industry and it could limit the group’s activities."
MTB,3. Robust Canadian economy and M&T’s long ties with the Canadian companies operating in the US would add advantage to improve its base in Canada.,"3. As a lender, it is exposed to credit risk as deteriorating credit quality would adversely affect it."
-,-,-
MU,1. Growing global semiconductor market,1. Economic slowdown in US and Eurozone
MU,2. Mobile device will propel the growth of data storage devices,2. Threat from Asian market
MU,3. Flash memory has growing market potential,-
-,-,-
NEE,1.Increase wind power generation,"1.Rising cost of production, volatile cost of input material"
NEE,2.Future development of nuclear power,"2.Decreasing demand, economic slowdown"
NEE,3.Plans to reduce CO2 emission,3. Changing dynamics of energy sources
-,-,"4. Increasing competition, consolidation"
-,-,5. Environmental regulation
-,-,-
NEM,1. Increase trade through is copper mining through extraction and processing hence producing refined and high grade copper,1. Overdependence on contract workers and lack of permanent employees poses threat of retaining and developing skilled workers within the organization
NEM,2. Continuous efforts towards driving down costs to stay profitable through increased research and technology efforts,2. Strong charges regarding bribery and operations causing threat to environment draws regulatory policies and restrictions
NEM,3. Achieve government clearances for new projects undertaken to increase outputs,3. Highly volatile Gold prices depending on prevailing economy leads to threat of sustained revenue
-,-,-
NFLX,1. Netflix can consider possibility to tie up with telecom providers to offer bundled packages to subscribers,1. Threat from other streaming competitors
NFLX,2. It can also tie up with conventional media houses and TV channels to showcase their content to target audience,2. Government regulations can create issues for services like Netflix
NFLX,3. Netflix should produce more local content for specific countries,3. High monthly cost of Netflix can be a threat
NFLX,4. Possibility of Netflix phone or tablet can be considered,4. Services like games can take the timeshare
NFLX,5. Netflix opportunities would definitely including collaborating with local content producers for certain geographies to have more loyal and diverse audience,-
NFLX,6. Gaming and related content is one area where Netflix can diversify,-
-,-,-
NKE,"1. Product expansion in areas like more concentration in sunglasses, sportswear etc. which gives high profit","1. Footwear market is so competitive, major competition from other brands"
NKE,2. Nike can open their stores in tier 2 cities in emerging economies as well,2. As it is an international brand currency fluctuations of countries affects the business of Nike
NKE,3. Enhance brand visibility by opening sports academies across the world for nurturing talent,3. Fake imitations and replicas often cause a problem for a brand like Nike
NKE,4. Nike can tap the online opportunities to reach out to as many customers as possible,4. Adaption of new techniques and innovation by other brands
NKE,5. Nike can expand into fashion segment alongside sportswear,"5. During pandemic, a lot of sports and outdoor activities were affected leading to impact on sales of footwear and apparel"
-,-,-
NLSN,1. Leveraging its history to stretch across geographies and areas of expertise,1. High competition of resource allocation to other business developments
NLSN,2. Extract value from the massive amounts of data generated as a by-product of providing professional services,2.Tough competition from the other global players
NSC,1. Increasing traffic volume,"1. Significant governmental legislation and regulation over commercial, operating and environmental matters"
NSC,2. Increasing demand of coal in US,2. Transportation of certain hazardous materials could create catastrophic losses in terms of personal injury and property damage costs
NSC,3. Emerging markets and expansion abroad,"3. Labor unions, labor agreements, strikes, or work stoppages could"
-,-,adversely affect operations
-,-,"
"
NTAP,"1. Emerging markets and expansion abroad, emerging growth in enterprise data",1. Increasing competition
NTAP,2. Innovation of new products and service to cater the needs of the segment in the category,2. Dependency on limited number of suppliers
NTAP,3. Product and services expansion,3. Economic slowdown due Eurozone crisis
NTAP,4. To expand in mid cap market segment,"4. Maturity in category, product and service "
NTAP,-,5. Globalization which lead to increase in import for cheaper service
-,-,-
-,-,-
NTRS,1. There is a scope for expansion as it is not present in all the domestic markets,1. The potential default of any troubled European country may cause tremendous losses for all the banks present worldwide
NTRS,2. Retirement of baby boomer population will require more investment services,2. More losses can be incurred if the US real estate prices fall
NTRS,3. Small financial institutions can be acquired to gain access to untapped markets,3. Increase in regulation after the 2008 crisis can lead to less returns as the banks are not allowed to involve in high risk portfolios
-,-,-
NUE,1. Entry in Asia- Europe market through joint venture,1. Rising raw material & labor cost
NUE,2. Horizontal integrations or acquisitions to improve market position,2. Threat from Chinese & other foreign players entering US markets
NUE,3. Vertical Integration with the nuclear plants to enable the low cost energy to produce steel products,3. Demand declining in US Real estate post sub prime crisis
-,-,-
NVDA,1. New product launches,1. Intense competition from major brands
NVDA,2. Growing demand for new mobile technologies for e.g. Tegra mobile chips works wonders on android OS which is yet to capture the steam of market,2. Economic slowdown and financial fluctuations
NVDA,3. Strategic acquisition,3. Contraction in end market
-,-,-
NXPI,1. Positive outlook for semiconductor business,1. Economic slowdown in US and Eurozone
NXPI,2. New Product launces,2. Rapid technological changes
NXPI,2. Strategic alliances,-
-,-,-
ORCL,1. Full hardware market is there to be tapped for Oracle through geographic expansion and acquisitions,1. Integration issues due to aggressive acquisitions can be tough to tackle
ORCL,2. More brand visibility can highlight the company's good work,"2. Being a global player, market fluctuations and recessions can reduce Oracle's business profits"
ORCL,3. Tie-ups with government organizations worldwide can help its grow its business,3. Increasing competition can diminish the market dominance of the company
ORCL,4. Oracle can work towards tapping the huge internet and data penetration and come-up with B2C solutions,-
-,-,-
ORLY,1. Export opportunity to developing country,1. People prefer to buy parts from authorized service station of company
ORLY,2. Integrate forward- Manufacture customized automobiles and designs as a new business through JV with auto companies,2. Availability of all components at any point of time is very important
ORLY,3. Participation in various auto expos and displaying auto design,3. Introduction of low maintenance car is potential threat for future business
ORLY,"4.Offer new and remanufactured hard parts, water pumps and all other variety of range under single brand name",-
-,-,-
OTIS,"1. Strong growth in Brazil,India, China and other strong Asian countries. The company should capitalize on the growth opportunities because of stagnation in relatively developed markets",1. Strong competition - Many competitors of Otis are equal in size with almost similar resources and experience
OTIS,"2.With a strong history, Otis has vast R&D resources and continually keeps on implementing new technologies","2.Though Otis invests heavily in R&D , other companies replicate the technology and thus hurt Otis"
OTIS,3. Tie-ups with real-estate & construction companies can boost business,-
-,-,-
OXY,"1. Expansion of operations in the middle east (Bahrain, Libya, Iraq, Oman, Yemen, UAE, Qatar) etc. by the company to leverage its operations and position internationally",1.Exploration Risks common to drilling and other exploratory activities can make the company incur significant losses
OXY,2. Increase in natural gas demand in the US Market both in the fast and according to forecasted data can help the company to drive top-line growth and strengthen the revenue contribution from the US market.,2.Governmental actions and Political instability (in countries of its foreign operations) can create adverse impact on the company’s operations in those countries
OXY,3. Strategic initiatives as the Al Hosn gas project at Abu Dhabi (to develop one of the largest natural fields in the Middle East) and a new Membrane Cell Chlor-Alkali plant in Tennessee will help it diversify its portfolio further and bring in higher revenues,"3.Stringent environmental compliance and regulations (as The Solid Waste Disposal Act, Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA), The Clean Water Act of 1972, Federal Oil Pollution Act of 1990, The Clean Air Act of 1970, and The Toxic Substances Control Act of 1976) can increases the company’s operating cost and could adversely affect its profitability."
-,-,-
PCAR,1. Demand in developing countries where it is established through acquired brands,"1. Because of the cyclic nature of the industry (heavy trucks), tough economic times lead to bad performance in the stock market"
PCAR,2. The South American truck market is going to provide an excellent long-term opportunity in the premium segment,"2. Impending crisis in Europe remains a big concern. If the situation worsens, the top line could take a substantial hit"
-,-,3. Slowdown in international markets (like concerns about China currently making the rounds) could weigh on the revenue and growth plans
-,-,-
PEP,1. Pepsi should increase growth in developing countries and capture their market,1. Health consciousness amongst people can take a toll on its aerated drinks and snacks food markets
PEP,2. Increase its product portfolio by acquisition of other brands,2. Compliance with different government regulations and norms in different countries
PEP,3. PepsiCo can expand the Yum! Brands eatery in untapped countries and regions like tier 2 cities,"3. Inflation, economic slowdown and instability causes decline in the purchasing power of consumers"
PEP,4. To improve its brand image by involving in more CSR activities to benefit the locals,4. Strong competition from other brands in each segment of its operation can be a threat for PepsiCo
-,-,-
PFE,1. Strategic agreements with other pharmaceutical companies and organizations to boost its research,1. Risk of unsuccessful new products can lead to loss of revenue
PFE,2. Increasing awareness about healthcare needs and increasing demand for quality healthcare solutions,2. Regulatory environment becoming more stringent can lead to challenges in global operations
PFE,3. Global penetration through mergers and acquisitions,3. Economic slowdown in European markets can lead to loss in business for Pfizer
-,-,-
PG,1. P&G can tap rural markets and increase penetration in urban areas,1. Intense and increasing competition amongst other FMCG companies can affect the market share of Procter and Gamble
PG,2. Mergers and acquisitions can be done to strengthen the brand,2. FDI in retail thereby allowing international brands worldwide
PG,3. Increasing purchasing power of people thereby increasing demand,3. Competition from unbranded and local products
PG,4. P&G can leverage its strong name and powerful brands to diversify into more consumer products,"4. Since P&G is a global brand, recessions, fluctuating dollar prices, economic crisis etc. can affect its business operations"
-,-,-
PGR,1. Passage of five-year NFIP reauthorization,1. Tough competitive position
PGR,2. Australian non-life insurance market is growing,2. Increasing insurance frauds can increase their claim losses
PGR,3. New technology like mobile technology creates possibilities in up-scaling the value chain,3. Increased incidence of natural disasters testing claims paying capability
-,-,-
PH,1. Portfolio diversification through mergers and acquisitions,1. Increasing raw material cost
PH,2. Market development through joint ventures or M&A,2. Increasing bargaining power of supplier
PH,3. Leverage the fast paced technology to distinguish from competitors,3. Lack of skilled labor
-,-,-
PNC,1. Strategic Acquisitions likely to enhance growth,1. Low interest rate environment could continue to affect core earnings
PNC,2. Buoyant asset management and custody bank sector,2. Competitive pressures likely to intensify pressure on margins
PNC,3. Growing mobile banking market to help in retaining customers and arresting costs,3. Increasing regulatory challenges
-,-,4. High systemic risk in the US banking industry affecting industry's prospects
-,-,-
PPG,1. Its ability to innovate and do R&D provides them an opportunity in developing eco-friendly products which are seen as products for the future with environmental regulation policies becoming stringent,1. Volatility in raw material prices
PPG,2. Acquisitions and partnerships with firms in other developing nations can pave pathway for them to enter there.,2. Global economy is sluggish especially US is still vulnerable to another recession
PPG,3. More penetration in emerging economies to increase brand reach and availability,3. Stringent Government rules and regulations regarding the quality of products and manufacturing facilities as Environment policies are being given more emphasis.
-,-,-
PRU,1.Expansion in other countries,1.Changing govt regulations and financial crisis like recessions
PRU,2.Diversifying portfolios for customers,2.Increase in insurance frauds
PRU,3.Acqusitions and JVs,3.Volatile nature of financial market
PRU,4.New emerging markets,4.Fierce competition
-,-,-
PSA,"1. Opportunity for development in region outside US and UK like Asia, Australia",1. Immense competition from local companies
PSA,"2. Improving operating performance by using value added offerings like the dehumidification system of climate controlled spaces, truck move-in program, Extensive marketing",2. Economic slump in European nation
-,-,3. Strengthen rules and regulation by government
-,-,-
PSX,"1. With the decrease in prices, the demand for Oil & Natural gas has increased in the US",1. Energy & Power sector is one of the most competitive business in the world and perhaps the most volatile
PSX,2. Strategic divestments of non-core assets have helped generate additional revenue for the company,2. Threat of OPEC and cartelization which can hamper profits
PSX,3. Disciplined approach taken to invest in new areas for Oil & Gas,3. Investments in Shale gas and Oil sands which could only be operational if oil prices are high
-,-,-
PYPL,1. Cashless economies,1. Stringent economic policies world over
PYPL,2. Digital currency,2. Highly competitive environment
PYPL,3. Upcoming ecommerce markets,3. Hacking and fraud threats
-,-,-
QCOM,1.Growing subscriber base,1.Adverse changes to SDO intellectual property policies
QCOM,2.Acquisition of handheld graphics and multimedia assets,2. Global economic conditions
QCOM,3. Increase in the adoption of 3G technologies,3. Patent litigations
QCOM,4. Mobile banking solutions,-
-,-,-
RCL,1. Growth potential from the developing economies,1. Security concerns due to shipwrecks may hurt demand
RCL,2. Increasing popularity of cruise vacations,2. Pricey recreational activity so few people prefer it
RCL,3. Most of the past cruisers plan to cruise again within the next 3 years. This shows high retention rate,-
-,-,-
RE,1. The company has opportunity in the opening up emerging economies.,1. The number of mergers and acquisitions in the reinsurance market poses a threat as competitive strength to the company.
RE,"2. The company recently acquired Premiere, which specializes in entertainment, sports and leisure risks which opens up the company’s opportunities in a new segment.",2. The industry faces a threat from the substitutes of catastrophe bonds.
RE,3. The global reinsurance market is growing at a steady pace which has a lot of scope for the company.,3. Increasing number of catastrophes and credit defaults affect the company’s profitability.
-,-,-
RF,1. The company re-entered the credit card segment with the purchase of credit card portfolio from FIA Card Services. It can capitalize on this segment and increase the customer base.,1. Business performance of financial services companies such as Regions Financial change dramatically with the modifications in regulatory and legislative actions and reforms such as the recent additions in the Dodd-Frank act.
RF,"2. Regions Bank's primary business provides commercial and retail banking services to its customers throughout its presence in the US and with the growing US banking sector, it can improve its top line services.",2. Illegal online activities are on the rise and this poses a major threat to not just the customers but to Regions financial as well as it offers a vast variety of internet based services to its clients.
RF,"3. The company can increase its presence in the global markets by acquiring regional banks. In line with this strategy, the company acquired the deposits of two failing banks, Integrity Bank and FirstBank Financial Services.","3. Due to its concentration in the US region, it is affected to the uncertainties in the US market"
-,-,-
RHI,"1. With markets across the world expected to bounce back, the company has strong potential for growth",1. Intense competition in the staffing business and other professional services
RHI,2. The US IT staffing industry has had robust growth in recent times,2. Due to scale peers have a competitive advantage and can play on price which could further erode business
RHI,3. An increase in demand for the global employment services can help in generating a bigger global footprint,"3. With a strict regulatory environment, the company’s opportunities will be limited while expanding"
-,-,-
RJF,1. Growth through increase in offerings and integrating with technology.,1. Financial business being the first ones to be impacted by the subprime crisis.
RJF,"2. Going across the globe through merger, acquisition of and partnership with other companies.",2. Pressure from competitors to sustain in the market.
-,-,3.Impacted by regulatory and legal changes.
-,-,-
RL,1. Internet sales as a prime source of future growth can be looked by the company,1. Similar products available in other brands thus switching cost is less
RL,2. Ralph Lauren can concentrate on development of private labels with department stores,2. Global currency fluctuations affect performance
RL,3. The brand can advertise more to tap market especially in emerging economies,3. Popular brands of Ralph Lauren face an issue of fake imitations
RL,"4. Tie-ups with fashion houses, hotel chains to boost business among elite clients",-
-,-,-
ROK,1. Leveraging of LoT to enhance The Connected Enterprise Vision of the company,1. Rising cost of energy
ROK,2. Research and Development,2. Rising cost of raw materials
ROK,3. Huge Investments by emerging markets in technology and automation,3. Lack of Skilled labor
-,-,-
ROST,1. Latest fashion items could be put up for auction,1. Stores such as Zara is also able to change the products on display as fast as Ross.
ROST,2. Online retail is an easy way to increase sales of items produced in bulk,2. Some supermarkets also have garments for sale
ROST,"3.Similar to dd’s , Ross could have a separate store for better quality products at a slightly higher or reasonable price",3. Boutiques sometimes offer old stock at their stores at a discount
-,-,4. Fake products of major brands attract young customers
-,-,-
SBUX,1. Introduce cheaper versions of coffee based items so that the target audience can afford them better,1. Threat from existing coffee chains and fast food outlets where coffee is offered along with other food items
SBUX,2. Starbucks can tap the smaller towns/cities in newer markets,2. Dependent on Government commodity rates
SBUX,"3. Could diverse their product not only in coffee e.g. Beverages like Tea are preferred in many markets like India, UK",3. Global financial crisis which make peoples tend not to spend too much money.
SBUX,4. Rising consumerism in emerging markets can lead to spend in services like good quality coffee,"4. Threats of substitute products and services include other drink items such as colas, teas or juices that are sold in retails."
SBUX,5. Home Delivery and Consumer products as during pandemic a lot of customers didn't go to office or outside,5. Perceived ill effects of coffee consumption by many people.
-,-,6. Pandemic where people tend not to go out can severely impact business
-,-,-
SCHW,1.Acquisition of ThomasPartners to add value to the company’s existing money management line up,1. Stiff price competition in its equity brokerage business likely to impact margins
SCHW,"2. OptionsXpress acquisition provides scope for clientele maturity, and increased trading volumes",2. Retail brokerage industry susceptible to high risk from litigation and regulatory fines and actions
SCHW,3.On investing app for ipad likely to increase trading volumes,-
-,-,-
SEE,1. Increasing E-commerce will increase the demand for packaging,1. Competition from unbranded packaging companies
SEE,2. High growth possibility in the emerging markets,2. Compliance issues and government policies related to use of raw materials
SEE,3. Companies preferring environment friendly packaging,3. Cannibalization of coated products
-,-,-
SHW,1. Growth potential in emerging economies is very high and joint ventures may be a good way to enter their markets.,1.Economic meltdown like the one Europe is facing now
SHW,2. Creating more eco-friendly products as it would be the demand of tomorrow.,"2. Stringent Government rules and regulations regarding the quality of products, manufacturing facilities-outputs and wastes owing to the adverse impact on environment."
SHW,3. Company should leverage on its strong R&D to come out with new innovative products.,3. Scarcity of raw materials and volatility in their prices.
-,-,4. Currency fluctuations in the countries in which the company operates.
-,-,5. It faces tough competition from other American and international brands
-,-,-
SJM,1. Ability of the Company to successfully integrate acquired and merged businesses in a timely and cost effective manner,"1.Impact of accidents and natural disasters, including crop failures and storm damage"
SJM,2. Adding new variants according to changes in consumer coffee preferences,"2.Risks associated with derivative and purchasing strategies employed by the Company to manage commodity pricing risks, including the risk that such strategies could result in significant losses and adversely impact the Company’s liquidity"
SJM,"3.Concentrating certain Company’s businesses with key customers and suppliers, including single-source suppliers of certain raw materials, such as packaging for its most popular Folgers coffee products, and finished goods, such as K-Cups","3.Crude oil price trends and their impact on transportation, energy, and packaging costs"
-,-,-
SLB,1.Acquisitions by buying out competition,1.Government regulations
SLB,2.Increasing demand for fuel,2.High Competition
-,-,3.Environmental laws
-,-,4.Economic instability
-,-,-
SNA,1. New and emerging markets offer a good opportunity to grow,1. Competition from other international players in multiple product categories
SNA,2. Increasing demand for high end technology products,2. Strong distribution channels of competitors
-,-,-
STT,1.Transtion with major IT players such as IBM or Wipro.,1.Susceptable to regulatory changes.
STT,2.Diversifying global presence through acquisitions.,2.Intensifying competition.
STT,3.Increasing commitment to service quality would improve the brand image in the industry.,3.Increasing competitions due to new entrants in ETF market.
STX,1. Increasing demand for larger and more efficient data access and storage devices,1. Price war among competitors to attract new customers
STX,2. Rapidly expanding demand for desktop disk drives due to consumer electronics appliances requiring storage of large amounts of data,2. Volatile financial performance in industry
-,-,"3. Fierce competition with large, established manufacturers of hardware and software including IBM, Sun Microsystems, Dell,Compaq, and EMC"
-,-,-
SWK,1. Potential to grow in markets outside US especially emerging markets,1. Growth of players in Professional power tool segment is a big threat since it has been unable to penetrate this market
SWK,2. Growth potential of consumer electronic market,2. Stringent environmental rules could hamper growth in the industrial equipment segment
SWK,3. Acquisitions to expand into new product lines,-
-,-,-
SWKS,1.New products and offerings through services,1. Substitute products from competitors
SWKS,2.Geographical expansion especially in emerging economies,2.Volatile exchange rates
SWKS,3. Innovation and technology,3.Government regulations and highly competitive industry
-,-,-
SYY,"1.Growth in its management consultancy business to its clients such as helping restaurants to improve their performance through conducting market analysis, menu-designing, pricing strategy, and business planning.",1.High salesforce turnover experienced in Us and Canada
SYY,"2.Strengtheing of SYGMA network, the company’s subsidiary that manages distribution of food and non-food products to chain restaurants throughout US",2.rising labour and fuel costs in USA
-,-,3.Stiff competition from other food retailers in this segment
-,-,-
T,1. International expansion opportunities of AT&T in emerging economies can boost its overall business,1. Saturation of the US markets & economic recessions can affect business of AT&T
T,"2. Deals with smartphone manufacturers like Apple, Samsung & ever increasing sales of these products can lead to a good partnership",2. Government regulations & legal challenges can lead operational issues of the company
T,3. Increasing smart phones market & leveraging 5G and 4G network capabilities can lead to new business opportunities for AT&T,3. Intense competition & industry consolidation can affect the business margins
T,4. Acquisition of smaller companies can strengthen AT&T's overall portfolio,-
-,-,-
TEL,1. Growth prospects due to acquisition of Deutsche Group – which is a provider of high-performance connectivity solutions in harsh conditions,"1. Risks associated with global, political, and economic relations makes it especially vulnerable due to its wide global presence"
TEL,2. Rising consumer electronics market – this market is supposed to generate revenues better than previous years,"2. Environmental laws – it has to comply with different environmental laws and standards in EU, China and the US"
TEL,3. Rise in global demand for better and faster communication solutions,3. The electronics market has competition
-,-,-
TGT,"1. Disposable income is increasing of the customers hence high purchasing power, this is true across different geographies so Target can venture in other markets",1. Huge competition from other international retail chains can affect Target's margins
TGT,2. Tapping the international market specially emerging economies can help boost business for Target retail,2. Increase raw material prices can lead to higher manufacturing costs
TGT,3. Acquisition of smaller retail chains to increase business,3. Increasing competition and changing economic scenarios
TGT,4. More visibility through advertising and customer focused services,-
-,-,-
TJX,1.Disposable income is increasing of the customers,1. Economic fluctuations and govt policies
TJX,2. Tapping the international market specially emerging economies,2. Inventory issues can be a problem
TJX,3. Acquisition of smaller retail chains,3. Expanding competition and entry of new players
TJX,4. More visibility through advertising and customer focused services,-
-,-,-
TMO,"1. Increase in revenue from emerging economies such as India, China, and South Africa.",1. Its business is exposed to currency fluctuations
TMO,"2. Long-term growth investments, such as strategic acquisition",2. Effect of healthcare reform legislation
TMO,"3. Increase the depth of capabilities in technologies, software and services, and advantage extensive global channels to address customers’ emerging needs.",3. Changes in governmental regulations
-,-,-
TROW,1. Acquisition of stake in UTI Asset Management likely to increase market presence in India,1. Increasing compliance costs and complexities could affect business growth
TROW,2. Innovative product launches likely to increase revenues,2. Intense competition likely to affect profitability and market share
TROW,3. Positive outlook for global asset management,3. Ongoing consolidation in fund management industry is creating larger rivals with diversified businesses who could take away market share from the group
-,-,-
TRV,1. Great prospects with recovering US commercial Real estate industry,1. Current Eurozone turmoil making US insurance industry highly vulnerable
TRV,2. Positive trends in property and casualty insurance resulting in increasing revenue opportunities,2. Growing competition in the insurance categories offered making erosion of market share
TRV,3. Acquisitions like the deal with JMalucelli and upcoming Dominion in Canada likely to increase market share globally,3. Changes in the political and regulatory federal income tax laws could affect the sector adversely
-,-,-
TSCO,1. Growing demand for the products TSC offers,1. External business risks
TSCO,2. New acquisitions can help the company grow,2. Increase in labour costs
TSCO,3. Strong demand from emerging economies can help boost sales,3.High competition in the retail sector
-,-,-
TSLA,1. The growing support by governments across the globe for environmentally friendly vehicles in form of exemptions from duties & other support,"1. Tesla wants to be able to produce, distribute & sell its cars to average which seems difficult to achieve due to their current business model"
TSLA,2. Further improvements in the quality control processes can reduce these costs drastically,"2. Changing government policies, economic recessions etc. can affect the business of the company"
TSLA,3. Launching Tesla cars in newer markets which are still adopting to electric cars,3. They are currently competing against a technology which has been in use for over hundred years i.e. the combustion engines & also their technology may take time for being optimal for use of masses
-,-,-
TSN,1. More branding and visibility to enhance efforts made,1. Changing customer preferences
TSN,2. Global tie-ups to increase global reach,2. Objection from organisations which promote vegetarian food
TSN,3. Acquiring smaller firms to further strengthen its position,3. Economic fluctuations and falling prices can affect operations.
-,-,-
TWTR,1. Twitter may become the dominant way for businesses to communicate with their customers,1. Competitors present in market can lead to decline in Twitter usage
TWTR,2. To invite more celebrities and organizations to create credible accounts,2. New upcoming social networking websites can reduce time spent on Twitter
TWTR,3. Integrate with more telecom operators or similar companies,3. Fake accounts and data leaks can be a cause of concern
TWTR,4. Twitter can acquire more online businesses to establish its strong presence,4. Government policies against internet & social media platforms can hurt Twitter's business
-,-,-
TXN,1. Growing global semiconductor market,1. Economic slowdown in US and Eurozone
TXN,2.Presence in mobile processor which is new growth segment in developing countries,2. Environmental regulations
TXN,3. Demand for analog semiconductors,3.Exchange rate fluctuation
-,-,-
TXT,1. Positive outlook for aerospace and defense sector which is consistently growing,1. Intense competition from domestic and international players
TXT,2. Growing US military and space market,2. Declining defense spending by the US Government
TXT,3. Surge in defense spending in China and India,3. Increasing compliance risks
-,-,-
UAL,1. Growing US airline industry and tourism can help boost the business of United Airlines in the international & domestic sectors,1. Intense competition from low cost airlines offering discounted prices can lead to loss of margins for United Airlines
UAL,2. Strong US economy will ensure higher purchasing power of people willing to invest in travel,2. Rising fuel prices is a challenge for the aviation industry as it reduces the profits
UAL,"3. Increasing partnerships with international players, trying to reach to newer & unexplored destinations",3. Persisting risks of recession and pandemics across the globe can decline the demand for air travel
-,-,-
ULTA,1. Can introduce new services,1. Change in preferences/fashion
ULTA,2. Constant innovation will help it to maintain sustainable growth,2. Wide range of substitutes available
ULTA,3. More market share in the US as the company is targeting to open more stores,3. Cosmetic products might not suit people with sensitive skin
-,-,-
UNH,1. People who are not enrolled in any healthcare plans,1. Changing Government regulations can affect operations
UNH,2.Introducing very specific plans for specific health issues,2. Increasing competition can be a major threat
UNH,3. Introduce new products to target specific segment of people,-
-,-,-
UNP,1. Positive outlook of US agricultural trade,1. Slowdown in US economy
UNP,2. Increasing demand of coal in US,2. Rising oil prices
UNP,3. Emerging markets and expansion abroad,"3. External changes (government, politics, taxes etc.)"
-,-,-
UPS,1. Build a more comprehensive domestic network in all countries they are present in,"1. Economic recession, higher fuel prices & changing global policies could impact the profit of United Parcel Services"
UPS,2. UPS can grow via mergers and acquisitions of smaller companies,2. Varying market demand can lead to seasonality or loss in business
UPS,3. Tie-up with ecommerce startups & enterprises to increase their business,3. Increasing reach of major competitors can affect business margins
-,-,-
USB,1. High opportunity to expand its presence in North American markets like Canada and Mexico,1. Changes in US regulatory policies will affect the US banking system
USB,2.Opportunities in the credit card segment increase revenue expansion of payment services division,2.Decrease in demand for home loans and investments will have a significant effect on the US banks
USB,3.Introduction of new renewable energy tax equity fund with Sunrun will help in expansion of bank’s business in the rapidly growing renewable energy sector,-
USB,4.Asset management industry expansion likely to increase revenues,-
-,-,-
V,1. Cashless economies in developing and emerging economies,1. Stringent economic policies world over
V,2. Digital currency,2. Highly competitive environment
-,-,-
VFC,"1. Increasing direct to consumer sales will increase the margins of the company, which will also reduce the wholesaler dependence.",1. Growing raw material costs
VFC,2. E-commerce should be used for more growth,2. Fluctuating currencies and economic conditions
-,-,3. Stiff competition from domestic and international players
-,-,-
VLO,1.Expansion of its non.conventional fuels business through various initiatives to diversify its fuel output and open up a new source of revenue generation for the company as well as diversify its business risks,"1.Operations are subject to extensive federal, state, and local environmental laws and regulations"
VLO,2.New pipeline expansion projects to transport Canadian crude oil will further boost crude oil logistics between key markets and consequently render a cost advantage to refining companies,2.Operational hazards and uninsured risks
VLO,3.Increased shale oil and gas production within the US will create resource and cost advantages to North American refineries,3.Financial and operational performance is highly dependent on commodity prices in the market.
-,-,-
WBA,1. People prefer easy and smooth solution for their health even in high prices so opportunity to increase prices and provide qualitative products,1. Government regulations in patent are not well accepted everywhere
WBA,2. Focusing only on doctors for aggressive marketing to increase more prescription,2. Many players exist in pharmaceutical industry with same products but with different brands so immense competition
WBA,3. Global tie-ups and expansion to increase Walgreens' presence,3. R&D is high expenditure are in pharma industry as it requires high amount of investment
WDC,1.Rapid growth in consumer electronic market,"1. Competition from Global Competition like EMC Corporation, Samsung Electronics, Seagate etc."
WDC,2. Increasing demand of PC and game software,2. Price war among competitors to attract new customers
WDC,3. New legislation requiring storage of information,-
WDC,"4. Innovation in products for ex: company coming up with 640GB hard drive, VelociRaptor (fast new 2.5 inch drive) ,Green Power",-
-,-,-
WFC,1. Wells Fargo can continue its global expansion and also provide domestic financial services,1. Changing govt regulations and financial crisis like recessions can affect the business for Wells Fargo
WFC,2. Acquisition of smaller financial institutions can strengthen its position further,2. Variable interest rates and fluctuating stock markets can impact the business markets
WFC,3. The company can utilize opportunity in the growing investment banking sector,3. Banking sector is vulnerable to online & financial frauds
-,-,-
WHR,1.Recovery in the US housing market giving rise to increased consumption of appliances.,1.Decreasing operating profit margin and net profit margin over the past 3 years.
WHR,2.Improving demand for these products internationally,2.Slower growth in major markets like US and Europe.
WHR,3. Opportunity in India due to predicted growth in CAGR in consumer appliances.,3.Competition from low cost Asian manufacturers.
-,-,-
WM,"1.With increasing packaging trend, garbage disposal has enough future scope for sustaining",1.New companies emerging in the recycling and green energy sector
WM,2.Waste-to-energy is the new area of waste management with opportunities for research,2.Different laws in different countries makes it difficult to enter global markets
WM,3.Consistent demand for new ways to recycle and reuse waste,3.Numerous government regulations
-,-,-
WMT,1.Walmart stands in situation where disposable income have been decreased due to global slowdown,1. Gaining cost leadership in highly competitive environment
WMT,2.Due to cost leadership is able to kill competitors,2. Growing competition from unorganized sector and ecommerce wrbsites can affect Walmart's business
WMT,3.High brand equity gives advantage over competitors to build customer loyalty,3. Low prices product sometimes get easily substituted by competitors
WMT,4. Acquisition of smaller players can consolidate the position of Walmart,4. High competition from other global brands means reducing market share for Walmart
WMT,5. Global reach can be a big option for the company to reach out to more customers,-
-,-,-
WYNN,1.Expansion into Emerging markets,1.Government policies
